Speed,Heading,Steering,Accelerate,X,Y,Lateral,Beta,Yaw,Rel_Yaw,Lane_heading
5.1,-0.08166201216099768,-0.39269908169872414,0.5,64.47503845973571,7.769148234418632,-0.23085176558136844,-0.20421957092811893,-0.2858815830891166,5.1,0.0
5.199999999999999,-0.1649464484046642,-0.39269908169872414,0.5,65.45137100484862,7.452476073410084,-0.5475239265899159,-0.20421957092811893,-0.36916601933278315,5.199999999999999,0.0
5.299999999999999,-0.2498533087309995,-0.39269908169872414,0.5,66.41618778017123,7.047434685598409,-0.9525653144015909,-0.20421957092811893,-0.45407287965911847,5.299999999999999,0.0
5.399999999999999,-0.3363825931400037,-0.39269908169872414,0.5,67.36061523969867,6.552250280480043,-1.4477497195199573,-0.20421957092811893,-0.5406021640681227,5.399999999999999,0.0
5.499999999999998,-0.4245343016316766,-0.39269908169872414,0.5,68.27522767657777,5.966030914828856,-2.033969085171144,-0.20421957092811893,-0.6287538725597955,5.499999999999998,0.0
5.599999999999998,-0.5143084342060185,-0.39269908169872414,0.5,69.15012218681531,5.28887204856082,-2.71112795143918,-0.20421957092811893,-0.7185280051341374,5.599999999999998,0.0
5.6999999999999975,-0.6057049908630291,-0.39269908169872414,0.5,69.97501069226276,4.521958681781778,-3.4780413182182217,-0.20421957092811893,-0.809924561791148,5.6999999999999975,0.0
5.799999999999997,-0.6987239716027085,-0.39269908169872414,0.5,70.73932960761583,3.6676616498196117,3.6676616498196117,-0.20421957092811893,-0.9029435425308274,5.799999999999997,0.0
5.899999999999997,-0.7933653764250568,-0.39269908169872414,0.5,71.4323674437117,2.729625413998301,2.729625413998301,-0.20421957092811893,-0.9975849473531757,5.899999999999997,0.0
5.9999999999999964,-0.8896292053300738,-0.39269908169872414,0.5,72.0434102921123,1.7128444718181313,1.7128444718181313,-0.20421957092811893,-1.0938487762581928,5.9999999999999964,0.0
6.099999999999996,-0.9875154583177598,-0.39269908169872414,0.5,72.56190473342728,0.623725331115839,0.623725331115839,-0.20421957092811893,-1.1917350292458786,6.099999999999996,0.0
6.199999999999996,-1.0870241353881145,-0.39269908169872414,0.5,72.97763725518202,-0.5298691403959656,-0.5298691403959656,-0.20421957092811893,-1.2912437063162334,6.199999999999996,0.0
6.299999999999995,-1.188155236541138,-0.39269908169872414,0.5,73.28092875719362,-1.7385962544688622,-1.7385962544688622,-0.20421957092811893,-1.392374807469257,6.299999999999995,0.0
6.399999999999995,-1.2909087617768304,-0.39269908169872414,0.5,73.46284216835153,-2.991634200883822,-2.991634200883822,-0.20421957092811893,-1.4951283327049494,6.399999999999995,0.0
6.499999999999995,-1.3952847110951916,-0.39269908169872414,0.5,73.51540060567778,-4.276710099890162,-4.276710099890162,-0.20421957092811893,-1.5995042820233105,6.499999999999995,0.0
