Speed,Heading,Steering,Accelerate,X,Y,Lateral,Beta,Yaw
5.045790338,0.07613766,0.368861148,0.228951691,82.14969391,0.215228155,0.215228155,0.190922647,0.267060307
5.104784407,-0.006045502,-0.392699082,0.294970345,83.15031554,0.058389556,0.058389556,-0.204219571,-0.210265073
5.154953119,-0.070398969,-0.307961647,0.250843557,84.15694387,-0.130216161,-0.130216161,-0.157719797,-0.228118766
5.197658278,0.013467185,0.392699082,0.213525798,85.17701742,0.036262041,0.036262041,0.204219571,0.217686756
5.256652347,-0.071179919,-0.392699082,0.294970345,86.19529706,-0.19034186,-0.19034186,-0.204219571,-0.27539949
5.299357507,0.014336227,0.392699082,0.213525798,87.23546808,-0.020830325,-0.020830325,0.204219571,0.218555798
5.368572466,-0.072016145,-0.392699082,0.346074797,88.27432004,-0.251684514,-0.251684514,-0.204219571,-0.276235716
5.411277626,0.01531582,0.392699082,0.213525798,89.33660529,-0.078820974,-0.078820974,0.204219571,0.219535391
5.46909756,0.0403733,0.115036434,0.289099671,90.41909612,0.009464303,0.009464303,0.057709138,0.098082438
5.538312519,-0.048732976,-0.392699082,0.346074797,91.49670431,-0.20174884,-0.20174884,-0.204219571,-0.252952547
5.584102858,0.035576908,0.368861148,0.228951691,92.59106583,-0.013564222,-0.013564222,0.190922647,0.226499555
5.653317817,-0.055395242,-0.392699082,0.346074797,93.69004081,-0.23515532,-0.23515532,-0.204219571,-0.259614812
5.699108155,0.03066056,0.368861148,0.228951691,94.80819968,-0.04987109,-0.04987109,0.190922647,0.221583207
5.768323115,-0.062177463,-0.392699082,0.346074797,95.92843126,-0.282211961,-0.282211961,-0.204219571,-0.266397034
5.819178744,-0.039770581,0.096638923,0.254278149,97.08544202,-0.289473437,-0.289473437,0.04843254,0.008661959
5.876998679,-0.012830977,0.115036434,0.289099671,98.25267813,-0.258045725,-0.258045725,0.057709138,0.044878162
5.934818613,0.014375418,0.115036434,0.289099671,99.43018479,-0.194461163,-0.194461163,0.057709138,0.072084557
5.997326418,0.018126098,0.015743383,0.312539026,100.6209863,-0.166474775,-0.156755638,0.007872179,0.025998278
6.062157156,-0.07952658,-0.392699082,0.324153692,101.7957008,-0.427491989,-0.345290355,-0.204219571,-0.283746151
6.124664962,-0.075695706,0.015743383,0.312539026,103.0092871,-0.513042386,-0.282055735,0.007872179,-0.067823527
6.183444913,-0.063343288,0.050233587,0.29389976,104.2368067,-0.570096298,-0.113530011,0.025132649,-0.038210639
6.248650966,-0.164017627,-0.392699082,0.326030262,105.4215586,-0.938038502,-0.182036595,-0.204219571,-0.368237198
6.313481704,-0.265747855,-0.392699082,0.324153692,106.5751252,-1.428680933,-0.299082173,-0.204219571,-0.469967426
6.372261656,-0.253015839,0.050233587,0.29389976,107.8065135,-1.725290363,-0.127741304,0.025132649,-0.227883191
6.437467708,-0.356753587,-0.392699082,0.326030262,108.9332986,-2.328933012,-0.199231508,-0.204219571,-0.560973158
6.502298447,-0.461547223,-0.392699082,0.324153692,110.0020252,-3.053680162,-0.322137697,-0.204219571,-0.665766794
6.561078399,-0.44843561,0.050233587,0.29389976,111.186539,-3.599856305,-0.147963117,0.025132649,-0.423302962
6.626284451,-0.555236766,-0.392699082,0.326030262,112.2029651,-4.435772675,-0.222297143,-0.204219571,-0.759456337
6.691115189,-0.66309381,-0.392699082,0.324153692,113.1332615,-5.384883287,-0.35097473,-0.204219571,-0.867313381
6.749895141,-0.6496026,0.050233587,0.29389976,114.214996,-6.179345721,-0.173840602,0.025132649,-0.624469952
6.815101194,-0.759467164,-0.392699082,0.326030262,115.0665786,-7.231663202,-0.250766683,-0.204219571,-0.963686735
6.879931932,-0.870387617,-0.392699082,0.324153692,115.804262,-8.382206684,-0.385010375,-0.204219571,-1.074607188
6.938711884,-0.85651681,0.050233587,0.29389976,116.7246418,-9.410317497,-0.204671786,0.025132649,-0.831384161
7.003917936,-0.969444782,-0.392699082,0.326030262,117.3578003,-10.649349,-0.283816163,-0.204219571,-1.173664353
7.068748675,-1.083428643,-0.392699082,0.324153692,117.8514115,-11.96417839,-0.423296478,-0.204219571,-1.287648214
7.127528626,-1.069178239,0.050233587,0.29389976,118.5524321,-13.19638113,-0.239383426,0.025132649,-1.04404559
7.192734679,-1.185169619,-0.392699082,0.326030262,118.9180893,-14.5779539,-0.320246829,-0.204219571,-1.38938919
7.251514631,-1.170669954,0.050233587,0.29389976,119.5004544,-15.8976226,-0.072701552,0.025132649,-1.145537305
7.317823911,-1.288678879,-0.392699082,0.331546403,119.7271753,-17.33381294,-0.093468443,-0.204219571,-1.49289845
7.383029964,-1.407757656,-0.392699082,0.326030262,119.783214,-18.79988566,-0.180418045,-0.204219571,-1.611977227
7.447860702,-1.527892322,-0.392699082,0.324153692,119.6631208,-20.2751445,-0.334954238,-0.204219571,-1.732111893
7.506640654,-1.512879751,0.050233587,0.29389976,119.7721088,-21.76464082,-0.149301227,0.025132649,-1.487747102
7.571846706,-1.635021936,-0.392699082,0.326030262,119.4923147,-23.24324695,-0.239711924,-0.204219571,-1.839241507
7.636677445,-1.758220011,-0.392699082,0.324153692,119.0299912,-24.68896335,-0.400843304,-0.204219571,-1.962439581
